Manufacturer;StockName;LabelWidth;LabelHeight;PaperWidth;PaperHeight;NumberOfRows;NumberOfColumns;HorizontalGap;VerticalGap;LeftMargin;TopMargin
Eltron;800740-405;4.0000;4.0000;4.0020;4.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800740-605;4.0000;6.0000;4.0020;6.0020;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800999-005;1.2500;2.2500;1.2520;2.2520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800999-007;1.2000;0.8500;1.2020;0.8520;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800999-009;2.2500;1.3700;2.2520;1.3720;1;1;0.0000;0.0000;0.0020;0.00195
Eltron;800999-011;1.1800;1.0000;2.3620;1.0020;2;1;0.0000;0.0000;0.0020;0.00195
Eltron;800999-080;1.1800;1.0000;2.3620;1.0020;2;1;0.0000;0.0000;0.0020;0.00195
ERO;1210A5 Full Paper;8.2680;5.8459;8.2677;11.6929;1;2;0.0000;0.0000;0.0000;0
ERO;209742 Full Paper;3.8190;1.6649;8.2677;11.6929;2;6;0.0000;0.0000;0.3149;0.8495
ERO;209768 Full Paper;3.8190;2.6649;8.2677;11.6929;2;4;0.0000;0.0000;0.3148;0.5155
ERO;210535 Full Paper;4.1339;1.3779;8.2677;11.6929;2;8;0.0000;0.0000;0.0000;0.3345
ERO;210537 Full Paper;4.1339;1.4609;8.2677;11.6929;2;8;0.0000;0.0000;0.0000;0
ERO;210541 Full Paper;4.1339;1.6139;8.2677;11.6929;2;7;0.0000;0.0000;0.0000;0.1969
ERO;210542 Full Paper;4.1339;1.6689;8.2677;11.6929;2;7;0.0000;0.0000;0.0000;0
ERO;210548 Full Paper;4.1339;1.8899;8.2677;11.6929;2;6;0.0000;0.0000;0.0000;0.1769
ERO;210557 Full Paper;4.1339;2.2439;8.2677;11.6929;2;5;0.0000;0.0000;0.0000;0.2359
ERO;210570 Full Paper;4.1339;2.7559;8.2677;11.6929;2;4;0.0000;0.0000;0.0000;0.3349
ERO;210574 Full Paper;4.1339;2.9229;8.2677;11.6929;2;4;0.0000;0.0000;0.0000;0
ERO;2105A6 Full Paper;4.1340;5.8459;8.2677;11.6929;2;2;0.0000;0.0000;0.0000;0
ERO;306534 Full Paper;2.5429;1.3309;8.2677;11.6929;3;8;0.0000;0.0000;0.3188;0.5239
ERO;307017 Full Paper;2.7559;0.6649;8.2677;11.6929;3;17;0.0000;0.0000;0.0000;0.1929
ERO;307025 Full Paper;2.7561;1.0001;8.2677;11.6929;3;11;0.0000;0.0000;0.0000;0.3459
ERO;307032 Full Paper;2.7561;1.2601;8.2677;11.6929;3;9;0.0000;0.0000;0.0000;0.1769
ERO;307035 Full Paper;2.7561;1.3781;8.2677;11.6929;3;8;0.0000;0.0000;0.0000;0.3349
ERO;307037 Full Paper;2.7561;1.4611;8.2677;11.6929;3;8;0.0000;0.0000;0.0000;0
ERO;307041 Full Paper;2.7561;1.6141;8.2677;11.6929;3;7;0.0000;0.0000;0.0000;0.1969
ERO;307042 Full Paper;2.7561;1.6691;8.2677;11.6929;3;7;0.0000;0.0000;0.0000;0
ERO;307051 Full Paper;2.7561;2.0001;8.2677;11.6929;3;5;0.0000;0.0000;0.0000;0.8459
ERO;404817 Full Paper;1.9091;0.6651;8.2677;11.6929;4;16;0.0000;0.0000;0.3148;0.5239
ERO;404825 Full Paper;1.9091;1.0001;8.2677;11.6929;4;10;0.0000;0.0000;0.3148;0.8459
ERO;405221 Full Paper;2.0671;0.8351;8.2677;11.6929;4;14;0.0000;0.0000;0.0000;0.0001
ERO;405230 Full Paper;2.0671;1.1691;8.2677;11.6929;4;10;0.0000;0.0000;0.0000;0.0001
ERO;503821 Full Paper;1.4961;0.8351;8.2677;11.6929;5;13;0.0000;0.0000;0.3938;0.4211
Formtec;Formtec 2105 Address;2.5004;1.5000;8.2677;11.6929;3;7;0.1000;0.0000;0.2756;0.633858
Formtec;Formtec 2106 Address;2.5197;1.3331;8.2677;11.6929;3;8;0.1000;0.0000;0.2402;0.559055118
Formtec;Formtec 2107 Address;3.9000;1.3335;8.2677;11.6929;2;8;0.1000;0.0000;0.1614;0.551181102
Formtec;Formtec 2108 Address;3.9000;1.5000;8.2677;11.6929;2;7;0.1000;0.0000;0.1614;0.633858268
Herma;4241 Laser - White;1.5010;0.8340;8.2677;11.6929;5;13;0.0000;0.0000;0.3859;0.4205
Herma;4243 Laser - Yellow;1.0000;0.3937;8.2677;11.6929;7;27;0.0984;0.0000;0.3150;0.551181102
Herma;4244 Laser - Red;1.0000;0.3937;8.2677;11.6929;7;27;0.0984;0.0000;0.3150;0.551181102
